 Choice 1, Choice 1 RT, Choice 2, Choice 2 RT, Choosing For, Computer Response, Decision Rating , Item Option, Money Option, PostChoiceRT, Selected Option Rating, Trial Options,Familiarity,Item,Rating,Trial Type
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\kind bar_peanut butter_bar.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\clif_z_bar.jpg,1.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\fiber one_oats and choc_chewy bar.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\kettle_original.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\nutrigrain_blueberry_bar.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\quaker_chewy_chocolate chip.jpg,6.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\fiber one_lemon_ bar.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\nabisco_chips ahhoy_mini.jpg,4.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\snickers_almond_bar.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\fritos_original_corn chips.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\slim_jim.jpg,6.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\welch's_white_grape_raspberry.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\pringles_the original_potato crisps.jpg,3.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\starburst_orignal_candy.jpg,5.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\poptarts_brown_sugar.jpg,4.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\poptarts_strawberry_frosted.jpg,4.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\baked_ruffles_cheddar &sour.JPG,4.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\emerald_natural_almonds.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\sourpatch_watermelon_candy.jpg,6.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\keebler_vanilla_sugar_wafers.jpg,1.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\lance_choc-o_cookies.jpg,2.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\skittles_wild berry_candy.jpg,5.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\lays_classic_potato chips.jpg,7.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\pirates booty_aged white cheddar_ corn puffs.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\grandmas_oatmeal raisin_cookies.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\cheetos_crunchy_chips.jpg,3.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\special_k_pastry_crisps_strawberry.jpg,5.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\famous_amos_chocolate_chip.jpg,6.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\skinny_pop_popcorn.jpg,4.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\baked_lays_classic.jpg,2.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\pringles_sour cream and onion_potato crisps.jpg,2.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\chips_ahoy_thin_crisps.jpg,2.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\quaker_chewy_dark choc chunk.jpg,7.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\twix_milk chocolate_cookie bars.jpg,7.0,
,,,,,,,,,,,,2.0,..\..\JOCN-master\task a\images\austin_vanilla creme_vanilla cookies.jpg,1.0,
,,,,,,,,,,,,3.0,..\..\JOCN-master\task a\images\popchips_ridges_perfectly_salted.jpg,2.0,
,,,,,,,,,,,,4.0,..\..\JOCN-master\task a\images\austin_peanut_butter.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\planters_honey roasted_peanuts.jpg,1.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\nestle_babyruth_bar.jpg,1.0,
,,,,,,,,,,,,7.0,..\..\JOCN-master\task a\images\skittles_sour_candy.jpg,5.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\keebler_elfin_cookies.jpg,1.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\baked_lays_barbeque.jpg,3.0,
,,,,,,,,,,,,6.0,..\..\JOCN-master\task a\images\fiber one_chocolate fudge_ brownie.jpg,2.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\stonyfield_fruit_snacks.jpg,1.0,
,,,,,,,,,,,,1.0,..\..\JOCN-master\task a\images\grandma's_peanut butter_cookies.jpg,1.0,
,,,,,,,,,,,,5.0,..\..\JOCN-master\task a\images\nabisco_teddy graham_honey.jpg,3.0,
